144,5
TYPE,AGE,TEMPERATURE,SHOWER,MOISTURE,REQ_WATER
1,1,25,1,0.54457,68.49444
1,1,25,2,3.59875,23.24815
1,1,25,3,6.75227,7.94677
1,1,25,4,9.89194,0.2759
1,1,26,1,0.44517,69.14868
1,1,26,2,3.41997,23.45243
1,1,26,3,6.3301,8.00843
1,1,26,4,9.44811,0.35104
1,1,27,1,0.338,69.19335
1,1,27,2,3.20895,22.78326
1,1,27,3,6.09881,7.81223
1,1,27,4,8.89911,0.162
1,1,28,1,0.21115,69.05081
1,1,28,2,3.0415,22.89934
1,1,28,3,5.84789,7.9711
1,1,28,4,8.4904,0.43872
1,1,29,1,0.12632,69.89793
1,1,29,2,2.75575,22.93583
1,1,29,3,5.47175,7.60438
1,1,29,4,8.21539,0.239
1,1,30,1,0.02264,68.34392
1,1,30,2,2.65101,23.00209
1,1,30,3,5.20071,8.02567
1,1,30,4,7.78308,0.38846
1,2,25,1,0.52161,69.77813
1,2,25,2,3.5988,22.73881
1,2,25,3,6.80839,7.93754
1,2,25,4,9.91855,0.11765
1,2,26,1,0.4288,68.51157
1,2,26,2,3.47332,22.84447
1,2,26,3,6.3859,7.83472
1,2,26,4,9.48194,0.00918
1,2,27,1,0.2866,69.87479
1,2,27,2,3.23845,23.20786
1,2,27,3,5.99234,7.62563
1,2,27,4,8.88026,0.13127
1,2,28,1,0.20026,68.9509
1,2,28,2,3.04289,23.62825
1,2,28,3,5.6929,7.62089
1,2,28,4,8.59704,0.4477
1,2,29,1,0.13584,69.21553
1,2,29,2,2.75531,23.06248
1,2,29,3,5.4011,7.80643
1,2,29,4,8.05437,0.358
1,2,30,1,0.00027,69.84138
1,2,30,2,2.58621,23.28594
1,2,30,3,5.24182,7.59348
1,2,30,4,7.89838,0.29217
1,3,25,1,0.53891,69.18264
1,3,25,2,3.70726,23.2632
1,3,25,3,6.70722,7.9987
1,3,25,4,9.83724,0.30044
1,3,26,1,0.45282,68.75036
1,3,26,2,3.4039,22.98067
1,3,26,3,6.42822,7.89216
1,3,26,4,9.51491,0.23443
1,3,27,1,0.32082,68.85395
1,3,27,2,3.20339,23.37404
1,3,27,3,6.09626,7.86221
1,3,27,4,9.0032,0.31616
1,3,28,1,0.21616,68.56336
1,3,28,2,2.97818,23.55799
1,3,28,3,5.759,8.16391
1,3,28,4,8.4358,0.02217
1,3,29,1,0.12617,69.49812
1,3,29,2,2.76452,22.86309
1,3,29,3,5.55513,7.86983
1,3,29,4,8.21635,0.06741
1,3,30,1,0.01851,69.52499
1,3,30,2,2.63556,23.25076
1,3,30,3,5.26374,7.71498
1,3,30,4,7.83443,0.35398
2,1,25,1,0.56432,68.59033
2,1,25,2,3.69899,23.57876
2,1,25,3,6.71348,8.02013
2,1,25,4,9.98458,0.25879
2,1,26,1,0.39745,68.44336
2,1,26,2,3.45091,23.00902
2,1,26,3,6.4903,7.96568
2,1,26,4,9.41978,0.20957
2,1,27,1,0.31703,69.39161
2,1,27,2,3.21978,23.05869
2,1,27,3,6.10768,8.06204
2,1,27,4,8.97599,0.36666
2,1,28,1,0.23661,68.24704
2,1,28,2,2.96404,22.96951
2,1,28,3,5.76585,8.17107
2,1,28,4,8.65186,0.15385
2,1,29,1,0.10192,68.49244
2,1,29,2,2.78627,23.45664
2,1,29,3,5.53961,7.87289
2,1,29,4,8.15715,0.43822
2,1,30,1,0.03676,68.77371
2,1,30,2,2.66047,22.84477
2,1,30,3,5.28135,8.12316
2,1,30,4,7.70965,0.41382
2,2,25,1,0.51469,69.77069
2,2,25,2,3.60881,23.19101
2,2,25,3,6.68684,8.12509
2,2,25,4,9.79542,0.35829
2,2,26,1,0.43344,68.23561
2,2,26,2,3.40171,22.88649
2,2,26,3,6.32955,7.66371
2,2,26,4,9.37308,0.16095
2,2,27,1,0.29194,68.78785
2,2,27,2,3.22312,23.54128
2,2,27,3,6.13603,7.62288
2,2,27,4,8.94922,0.07826
2,2,28,1,0.20185,69.40055
2,2,28,2,2.95402,22.87845
2,2,28,3,5.79605,7.80469
2,2,28,4,8.56539,0.38995
2,2,29,1,0.10263,69.41769
2,2,29,2,2.78268,23.00814
2,2,29,3,5.51081,8.04887
2,2,29,4,8.10303,0.14973
2,2,30,1,0.00518,69.77866
2,2,30,2,2.6158,22.95645
2,2,30,3,5.14001,7.80149
2,2,30,4,7.85444,0.0122
2,3,25,1,0.55941,68.72867
2,3,25,2,3.64394,23.29481
2,3,25,3,6.68077,7.87965
2,3,25,4,9.84906,0.284
2,3,26,1,0.41062,68.33379
2,3,26,2,3.39281,23.53476
2,3,26,3,6.44344,7.89419
2,3,26,4,9.48456,0.3318
2,3,27,1,0.31439,68.91082
2,3,27,2,3.24413,22.93146
2,3,27,3,6.06165,7.77084
2,3,27,4,8.87957,0.00705
2,3,28,1,0.21963,69.74834
2,3,28,2,3.03478,23.60525
2,3,28,3,5.81091,7.78227
2,3,28,4,8.57233,0.16421
2,3,29,1,0.1269,68.64799
2,3,29,2,2.76699,23.01037
2,3,29,3,5.47812,8.01442
2,3,29,4,8.19948,0.12655
2,3,30,1,0.01292,68.93793
2,3,30,2,2.66128,23.47737
2,3,30,3,5.21439,8.17568
2,3,30,4,7.72962,0.16628
