144,5
TYPE,AGE,TEMPERATURE,SHOWER,MOISTURE,REQ_WATER
1,1,25,1,0.54457,97.8492
1,1,25,2,3.59875,33.21164
1,1,25,3,6.75227,11.35252
1,1,25,4,9.89194,0.39414
1,1,26,1,0.44517,98.78383
1,1,26,2,3.41997,33.50348
1,1,26,3,6.3301,11.44061
1,1,26,4,9.44811,0.50149
1,1,27,1,0.338,98.84764
1,1,27,2,3.20895,32.54751
1,1,27,3,6.09881,11.16032
1,1,27,4,8.89911,0.23143
1,1,28,1,0.21115,98.64401
1,1,28,2,3.0415,32.71334
1,1,28,3,5.84789,11.38728
1,1,28,4,8.4904,0.62674
1,1,29,1,0.12632,99.85418
1,1,29,2,2.75575,32.76547
1,1,29,3,5.47175,10.8634
1,1,29,4,8.21539,0.34143
1,1,30,1,0.02264,97.63416
1,1,30,2,2.65101,32.86013
1,1,30,3,5.20071,11.46524
1,1,30,4,7.78308,0.55494
1,2,25,1,0.52161,99.68305
1,2,25,2,3.5988,32.48402
1,2,25,3,6.80839,11.33934
1,2,25,4,9.91855,0.16806
1,2,26,1,0.4288,97.87367
1,2,26,2,3.47332,32.63496
1,2,26,3,6.3859,11.19245
1,2,26,4,9.48194,0.01311
1,2,27,1,0.2866,99.82112
1,2,27,2,3.23845,33.15409
1,2,27,3,5.99234,10.89375
1,2,27,4,8.88026,0.18753
1,2,28,1,0.20026,98.50129
1,2,28,2,3.04289,33.75465
1,2,28,3,5.6929,10.88698
1,2,28,4,8.59704,0.63957
1,2,29,1,0.13584,98.87933
1,2,29,2,2.75531,32.9464
1,2,29,3,5.4011,11.15205
1,2,29,4,8.05437,0.51143
1,2,30,1,0.00027,99.7734
1,2,30,2,2.58621,33.26563
1,2,30,3,5.24182,10.84782
1,2,30,4,7.89838,0.41738
1,3,25,1,0.53891,98.83234
1,3,25,2,3.70726,33.23315
1,3,25,3,6.70722,11.42671
1,3,25,4,9.83724,0.4292
1,3,26,1,0.45282,98.21481
1,3,26,2,3.4039,32.82953
1,3,26,3,6.42822,11.27451
1,3,26,4,9.51491,0.3349
1,3,27,1,0.32082,98.36279
1,3,27,2,3.20339,33.39148
1,3,27,3,6.09626,11.23172
1,3,27,4,9.0032,0.45165
1,3,28,1,0.21616,97.94765
1,3,28,2,2.97818,33.65427
1,3,28,3,5.759,11.66273
1,3,28,4,8.4358,0.03167
1,3,29,1,0.12617,99.28302
1,3,29,2,2.76452,32.66156
1,3,29,3,5.55513,11.24262
1,3,29,4,8.21635,0.09631
1,3,30,1,0.01851,99.32141
1,3,30,2,2.63556,33.21537
1,3,30,3,5.26374,11.02141
1,3,30,4,7.83443,0.50568
2,1,25,1,0.56432,97.98618
2,1,25,2,3.69899,33.68394
2,1,25,3,6.71348,11.45733
2,1,25,4,9.98458,0.36971
2,1,26,1,0.39745,97.77623
2,1,26,2,3.45091,32.87003
2,1,26,3,6.4903,11.37954
2,1,26,4,9.41978,0.29939
2,1,27,1,0.31703,99.13087
2,1,27,2,3.21978,32.94098
2,1,27,3,6.10768,11.5172
2,1,27,4,8.97599,0.5238
2,1,28,1,0.23661,97.49577
2,1,28,2,2.96404,32.81359
2,1,28,3,5.76585,11.67295
2,1,28,4,8.65186,0.21979
2,1,29,1,0.10192,97.84634
2,1,29,2,2.78627,33.50948
2,1,29,3,5.53961,11.24699
2,1,29,4,8.15715,0.62603
2,1,30,1,0.03676,98.24816
2,1,30,2,2.66047,32.63539
2,1,30,3,5.28135,11.60451
2,1,30,4,7.70965,0.59117
2,2,25,1,0.51469,99.67242
2,2,25,2,3.60881,33.13001
2,2,25,3,6.68684,11.60727
2,2,25,4,9.79542,0.51184
2,2,26,1,0.43344,97.47945
2,2,26,2,3.40171,32.69498
2,2,26,3,6.32955,10.94815
2,2,26,4,9.37308,0.22992
2,2,27,1,0.29194,98.26836
2,2,27,2,3.22312,33.6304
2,2,27,3,6.13603,10.88983
2,2,27,4,8.94922,0.1118
2,2,28,1,0.20185,99.14364
2,2,28,2,2.95402,32.6835
2,2,28,3,5.79605,11.14955
2,2,28,4,8.56539,0.55707
2,2,29,1,0.10263,99.16812
2,2,29,2,2.78268,32.86878
2,2,29,3,5.51081,11.49838
2,2,29,4,8.10303,0.2139
2,2,30,1,0.00518,99.6838
2,2,30,2,2.6158,32.79493
2,2,30,3,5.14001,11.14499
2,2,30,4,7.85444,0.01743
2,3,25,1,0.55941,98.18382
2,3,25,2,3.64394,33.2783
2,3,25,3,6.68077,11.25664
2,3,25,4,9.84906,0.40572
2,3,26,1,0.41062,97.6197
2,3,26,2,3.39281,33.62108
2,3,26,3,6.44344,11.27741
2,3,26,4,9.48456,0.474
2,3,27,1,0.31439,98.44403
2,3,27,2,3.24413,32.75923
2,3,27,3,6.06165,11.1012
2,3,27,4,8.87957,0.01007
2,3,28,1,0.21963,99.64049
2,3,28,2,3.03478,33.72179
2,3,28,3,5.81091,11.11753
2,3,28,4,8.57233,0.23458
2,3,29,1,0.1269,98.06856
2,3,29,2,2.76699,32.87196
2,3,29,3,5.47812,11.44917
2,3,29,4,8.19948,0.18079
2,3,30,1,0.01292,98.48275
2,3,30,2,2.66128,33.5391
2,3,30,3,5.21439,11.67954
2,3,30,4,7.72962,0.23754
