144,5
TYPE,AGE,TEMPERATURE,SHOWER,MOISTURE,REQ_WATER
1,1,25,1,0.56241,6.37864
1,1,25,2,3.63963,27.80082
1,1,25,3,6.76412,48.08353
1,1,25,4,9.93749,68.87744
1,1,26,1,0.44172,5.12318
1,1,26,2,3.37764,24.34081
1,1,26,3,6.39947,44.08896
1,1,26,4,9.4882,63.07009
1,1,27,1,0.31546,3.64948
1,1,27,2,3.22069,21.74946
1,1,27,3,6.14769,39.59522
1,1,27,4,8.91361,57.3816
1,1,28,1,0.18818,2.44687
1,1,28,2,2.94077,19.04073
1,1,28,3,5.73664,35.84419
1,1,28,4,8.64062,52.78383
1,1,29,1,0.142,1.07678
1,1,29,2,2.81398,16.68076
1,1,29,3,5.4769,32.64173
1,1,29,4,8.0897,47.59077
1,1,30,1,0.00656,0.09028
1,1,30,2,2.63835,14.3997
1,1,30,3,5.14005,29.12351
1,1,30,4,7.78488,43.59743
1,2,25,1,0.52628,6.36464
1,2,25,2,3.65812,27.18675
1,2,25,3,6.73542,48.45694
1,2,25,4,9.87116,68.70475
1,2,26,1,0.43196,4.87083
1,2,26,2,3.38195,24.55723
1,2,26,3,6.47935,43.37556
1,2,26,4,9.45806,62.6671
1,2,27,1,0.34056,3.44321
1,2,27,2,3.21771,21.1191
1,2,27,3,6.10418,39.29681
1,2,27,4,8.89059,57.28077
1,2,28,1,0.2204,2.41567
1,2,28,2,3.00399,19.06225
1,2,28,3,5.78657,35.50264
1,2,28,4,8.60031,52.547
1,2,29,1,0.12755,1.10245
1,2,29,2,2.7652,16.45236
1,2,29,3,5.45367,32.27062
1,2,29,4,8.19943,47.85039
1,2,30,1,0.03315,0.25043
1,2,30,2,2.62266,14.61733
1,2,30,3,5.2697,28.88834
1,2,30,4,7.76811,43.18188
1,3,25,1,0.51625,6.59981
1,3,25,2,3.65351,27.36785
1,3,25,3,6.78749,47.91227
1,3,25,4,9.99974,68.56353
1,3,26,1,0.41875,4.95091
1,3,26,2,3.36483,24.35894
1,3,26,3,6.43892,43.10851
1,3,26,4,9.4259,63.01868
1,3,27,1,0.29586,3.43735
1,3,27,2,3.20077,21.43958
1,3,27,3,6.0104,39.0591
1,3,27,4,8.86391,57.04432
1,3,28,1,0.19117,2.22002
1,3,28,2,3.01578,18.98219
1,3,28,3,5.6949,35.69204
1,3,28,4,8.62409,52.57612
1,3,29,1,0.13923,1.30517
1,3,29,2,2.76399,16.5374
1,3,29,3,5.49399,32.41386
1,3,29,4,8.22326,47.24154
1,3,30,1,0.03496,0.05507
1,3,30,2,2.59885,14.50312
1,3,30,3,5.25085,29.46675
1,3,30,4,7.70666,43.59805
2,1,25,1,0.51684,6.49746
2,1,25,2,3.67369,27.20983
2,1,25,3,6.72707,48.73206
2,1,25,4,9.94118,69.6071
2,1,26,1,0.42443,4.92726
2,1,26,2,3.43177,24.01109
2,1,26,3,6.44496,43.03958
2,1,26,4,9.39438,63.40051
2,1,27,1,0.33554,3.4152
2,1,27,2,3.17603,21.14344
2,1,27,3,6.05942,39.36011
2,1,27,4,8.938,57.67383
2,1,28,1,0.2285,2.25491
2,1,28,2,2.94219,19.12936
2,1,28,3,5.84195,35.54895
2,1,28,4,8.54206,52.86175
2,1,29,1,0.09525,1.0617
2,1,29,2,2.74843,16.75332
2,1,29,3,5.49828,32.58486
2,1,29,4,8.16645,47.20418
2,1,30,1,0.0164,0.00819
2,1,30,2,2.59544,14.82463
2,1,30,3,5.25198,29.06138
2,1,30,4,7.7506,43.18291
2,2,25,1,0.56044,6.43942
2,2,25,2,3.60835,27.00827
2,2,25,3,6.72437,47.86933
2,2,25,4,9.8882,69.84545
2,2,26,1,0.42057,4.86766
2,2,26,2,3.39127,24.33248
2,2,26,3,6.39381,43.79989
2,2,26,4,9.32952,62.34059
2,2,27,1,0.29274,3.36981
2,2,27,2,3.15346,21.15751
2,2,27,3,6.01396,39.60283
2,2,27,4,9.04754,57.86633
2,2,28,1,0.20389,2.31861
2,2,28,2,3.00651,18.73911
2,2,28,3,5.788,35.8305
2,2,28,4,8.65151,52.77717
2,2,29,1,0.14189,1.1992
2,2,29,2,2.77434,16.78954
2,2,29,3,5.50876,31.88712
2,2,29,4,8.18355,48.20559
2,2,30,1,0.04592,0.26013
2,2,30,2,2.64878,14.84801
2,2,30,3,5.17824,29.17555
2,2,30,4,7.83119,43.11906
2,3,25,1,0.5314,6.34072
2,3,25,2,3.611,27.42814
2,3,25,3,6.85795,48.31656
2,3,25,4,9.81328,68.53582
2,3,26,1,0.40938,4.98225
2,3,26,2,3.44117,24.06402
2,3,26,3,6.40232,44.06137
2,3,26,4,9.44812,63.49828
2,3,27,1,0.32183,3.68052
2,3,27,2,3.16005,21.4032
2,3,27,3,6.03918,39.32835
2,3,27,4,8.9876,56.87528
2,3,28,1,0.2347,2.13976
2,3,28,2,3.02135,19.15829
2,3,28,3,5.84193,35.81421
2,3,28,4,8.54208,52.77844
2,3,29,1,0.12507,1.12391
2,3,29,2,2.81305,16.68208
2,3,29,3,5.39971,32.58771
2,3,29,4,8.13028,47.31698
2,3,30,1,0.01135,0.15658
2,3,30,2,2.61289,14.64506
2,3,30,3,5.26142,29.07478
2,3,30,4,7.90554,43.49229
