144,5
TYPE,AGE,TEMPERATURE,SHOWER,MOISTURE,REQ_WATER
1,1,25,1,0.54074,3.96089
1,1,25,2,3.59383,1.34488
1,1,25,3,6.68913,0.45708
1,1,25,4,9.78022,0.00227
1,1,26,1,0.43063,4.00661
1,1,26,2,3.44912,1.33781
1,1,26,3,6.42574,0.44232
1,1,26,4,9.41496,0.00099
1,1,27,1,0.30705,4.00894
1,1,27,2,3.14696,1.32279
1,1,27,3,6.04691,0.44683
1,1,27,4,8.94217,0.01876
1,1,28,1,0.20397,3.9589
1,1,28,2,2.95969,1.34177
1,1,28,3,5.84467,0.44117
1,1,28,4,8.44602,0.02268
1,1,29,1,0.10549,3.97036
1,1,29,2,2.75138,1.31864
1,1,29,3,5.445,0.46246
1,1,29,4,8.07959,0.00415
1,1,30,1,0.04709,3.97439
1,1,30,2,2.5663,1.35498
1,1,30,3,5.2187,0.45484
1,1,30,4,7.87563,0.00578
1,2,25,1,0.55419,3.98372
1,2,25,2,3.67114,1.34461
1,2,25,3,6.8356,0.44036
1,2,25,4,9.77881,0.02486
1,2,26,1,0.4236,3.97309
1,2,26,2,3.38208,1.30642
1,2,26,3,6.4052,0.43868
1,2,26,4,9.31049,0.02035
1,2,27,1,0.33122,3.98341
1,2,27,2,3.15377,1.31757
1,2,27,3,6.11464,0.4449
1,2,27,4,8.86353,0.01498
1,2,28,1,0.20285,3.92853
1,2,28,2,2.97277,1.32129
1,2,28,3,5.69462,0.46482
1,2,28,4,8.45626,0.02137
1,2,29,1,0.10004,4.00933
1,2,29,2,2.8333,1.33053
1,2,29,3,5.55213,0.45424
1,2,29,4,8.15445,0.01493
1,2,30,1,0.0181,3.97443
1,2,30,2,2.56794,1.35473
1,2,30,3,5.19239,0.45237
1,2,30,4,7.85061,0.01817
1,3,25,1,0.5225,3.94278
1,3,25,2,3.62127,1.31337
1,3,25,3,6.76795,0.45324
1,3,25,4,9.86103,0.01992
1,3,26,1,0.42537,3.94089
1,3,26,2,3.42762,1.35254
1,3,26,3,6.4279,0.47008
1,3,26,4,9.50572,0.01055
1,3,27,1,0.30885,3.98372
1,3,27,2,3.19899,1.34213
1,3,27,3,6.04901,0.44193
1,3,27,4,9.04344,0.02391
1,3,28,1,0.22355,3.94449
1,3,28,2,2.98249,1.33116
1,3,28,3,5.74182,0.45884
1,3,28,4,8.58109,0.0118
1,3,29,1,0.13416,4.0197
1,3,29,2,2.75916,1.3288
1,3,29,3,5.41178,0.44544
1,3,29,4,8.06199,0.01362
1,3,30,1,0.03967,3.98803
1,3,30,2,2.57205,1.30704
1,3,30,3,5.21156,0.43774
1,3,30,4,7.90276,0.00781
2,1,25,1,0.5243,19.72274
2,1,25,2,3.66137,9.20797
2,1,25,3,6.82334,5.74949
2,1,25,4,9.83392,3.98556
2,1,26,1,0.4501,19.74053
2,1,26,2,3.44971,9.26957
2,1,26,3,6.44605,5.76539
2,1,26,4,9.3694,3.98419
2,1,27,1,0.28906,19.72221
2,1,27,2,3.19328,9.31825
2,1,27,3,6.05322,5.70921
2,1,27,4,8.99005,3.99025
2,1,28,1,0.18696,19.85972
2,1,28,2,2.96277,9.23744
2,1,28,3,5.70746,5.68244
2,1,28,4,8.61176,3.97372
2,1,29,1,0.11527,19.92874
2,1,29,2,2.80181,9.29961
2,1,29,3,5.43418,5.71054
2,1,29,4,8.24094,3.98513
2,1,30,1,0.02454,19.72552
2,1,30,2,2.62864,9.16759
2,1,30,3,5.28028,5.77827
2,1,30,4,7.74886,3.95445
2,2,25,1,0.52636,19.71419
2,2,25,2,3.6404,9.2912
2,2,25,3,6.81617,5.78677
2,2,25,4,9.9188,3.9946
2,2,26,1,0.39946,19.87085
2,2,26,2,3.36213,9.17248
2,2,26,3,6.40022,5.77524
2,2,26,4,9.44132,3.94374
2,2,27,1,0.31158,19.85136
2,2,27,2,3.20966,9.18261
2,2,27,3,6.12489,5.7553
2,2,27,4,8.93124,3.93823
2,2,28,1,0.21915,19.95157
2,2,28,2,3.04104,9.27109
2,2,28,3,5.82323,5.77942
2,2,28,4,8.49645,3.91962
2,2,29,1,0.12335,19.98728
2,2,29,2,2.76623,9.34139
2,2,29,3,5.43936,5.67428
2,2,29,4,8.07337,4.01715
2,2,30,1,0.02003,19.68484
2,2,30,2,2.63076,9.28669
2,2,30,3,5.18857,5.65663
2,2,30,4,7.88092,3.94266
2,3,25,1,0.52041,19.913
2,3,25,2,3.64976,9.32573
2,3,25,3,6.78661,5.70868
2,3,25,4,9.79976,3.96621
2,3,26,1,0.41038,19.73831
2,3,26,2,3.37099,9.1819
2,3,26,3,6.33906,5.74363
2,3,26,4,9.44753,3.95313
2,3,27,1,0.32358,19.6206
2,3,27,2,3.19532,9.16482
2,3,27,3,6.03753,5.7096
2,3,27,4,9.02548,3.98411
2,3,28,1,0.19834,19.9829
2,3,28,2,2.97713,9.33268
2,3,28,3,5.79535,5.78261
2,3,28,4,8.45588,3.92448
2,3,29,1,0.10458,19.82754
2,3,29,2,2.78911,9.18433
2,3,29,3,5.4458,5.79526
2,3,29,4,8.20454,4.0159
2,3,30,1,0.02545,19.717
2,3,30,2,2.59589,9.2499
2,3,30,3,5.22528,5.70575
2,3,30,4,7.76881,3.98929
