144,5
TYPE,AGE,TEMPERATURE,SHOWER,MOISTURE,REQ_WATER
1,1,25,1,0.54053,6.86523
1,1,25,2,3.63479,5.04398
1,1,25,3,6.72208,2.52641
1,1,25,4,9.77931,0.43774
1,1,26,1,0.41985,8.56116
1,1,26,2,3.43576,7.16952
1,1,26,3,6.41782,4.87355
1,1,26,4,9.42389,2.92559
1,1,27,1,0.29025,10.52134
1,1,27,2,3.17433,8.56253
1,1,27,3,6.07641,6.46615
1,1,27,4,9.03498,5.30917
1,1,28,1,0.18777,12.58528
1,1,28,2,2.94618,10.39038
1,1,28,3,5.77053,9.24694
1,1,28,4,8.55664,6.94309
1,1,29,1,0.11672,14.86303
1,1,29,2,2.75268,13.20224
1,1,29,3,5.4118,11.26602
1,1,29,4,8.22461,8.24769
1,1,30,1,0.01942,17.20222
1,1,30,2,2.63874,15.10855
1,1,30,3,5.28539,12.4944
1,1,30,4,7.69969,11.45603
1,2,25,1,0.52322,6.47528
1,2,25,2,3.68045,5.22929
1,2,25,3,6.71013,2.49111
1,2,25,4,9.9142,0.60611
1,2,26,1,0.41969,8.9291
1,2,26,2,3.37579,6.41708
1,2,26,3,6.41455,4.11645
1,2,26,4,9.35347,2.97074
1,2,27,1,0.28643,10.34554
1,2,27,2,3.13731,8.66399
1,2,27,3,6.02076,7.16136
1,2,27,4,8.96883,4.91819
1,2,28,1,0.23467,13.19753
1,2,28,2,2.93771,11.36889
1,2,28,3,5.82541,9.04748
1,2,28,4,8.53561,6.22398
1,2,29,1,0.09553,15.1045
1,2,29,2,2.79464,12.63385
1,2,29,3,5.5248,11.16718
1,2,29,4,8.0758,8.95025
1,2,30,1,0.00044,17.58997
1,2,30,2,2.61638,14.43295
1,2,30,3,5.22448,12.54211
1,2,30,4,7.89042,10.34877
1,3,25,1,0.53595,6.34588
1,3,25,2,3.62888,4.1958
1,3,25,3,6.72378,3.09667
1,3,25,4,9.90132,0.40176
1,3,26,1,0.42008,8.25394
1,3,26,2,3.36557,6.52113
1,3,26,3,6.39115,4.34073
1,3,26,4,9.49445,2.74604
1,3,27,1,0.32332,11.48357
1,3,27,2,3.16679,8.65577
1,3,27,3,6.02889,6.752
1,3,27,4,9.03986,5.00398
1,3,28,1,0.19669,12.90477
1,3,28,2,3.00984,10.62444
1,3,28,3,5.68731,8.5722
1,3,28,4,8.53608,7.25564
1,3,29,1,0.11009,15.31691
1,3,29,2,2.79402,12.93948
1,3,29,3,5.40538,10.54072
1,3,29,4,8.17551,9.20394
1,3,30,1,0.03692,16.83912
1,3,30,2,2.57419,14.76496
1,3,30,3,5.23662,12.61234
1,3,30,4,7.82877,11.51352
2,1,25,1,0.53811,8.61232
2,1,25,2,3.62934,6.43557
2,1,25,3,6.78079,4.20143
2,1,25,4,9.85676,2.35451
2,1,26,1,0.42057,11.16459
2,1,26,2,3.47083,8.61802
2,1,26,3,6.4203,6.50163
2,1,26,4,9.37013,4.96829
2,1,27,1,0.30391,12.7532
2,1,27,2,3.17132,10.49718
2,1,27,3,6.14962,8.5505
2,1,27,4,8.94281,6.87289
2,1,28,1,0.1881,15.74101
2,1,28,2,3.0278,13.33748
2,1,28,3,5.74806,10.88689
2,1,28,4,8.46185,9.23468
2,1,29,1,0.08959,16.79178
2,1,29,2,2.74799,14.92626
2,1,29,3,5.42501,12.81866
2,1,29,4,8.18954,10.45696
2,1,30,1,0.04127,18.8611
2,1,30,2,2.59426,16.81962
2,1,30,3,5.24466,14.68147
2,1,30,4,7.79355,13.20996
2,2,25,1,0.57213,8.95222
2,2,25,2,3.71672,6.62161
2,2,25,3,6.67347,5.18548
2,2,25,4,9.9733,2.81257
2,2,26,1,0.44372,11.31367
2,2,26,2,3.42879,9.26452
2,2,26,3,6.49201,6.29012
2,2,26,4,9.47975,4.13005
2,2,27,1,0.2857,13.0402
2,2,27,2,3.24066,10.78588
2,2,27,3,6.07618,9.17486
2,2,27,4,8.87747,6.4028
2,2,28,1,0.18436,14.67648
2,2,28,2,3.02859,12.86947
2,2,28,3,5.71614,11.15228
2,2,28,4,8.49264,8.87127
2,2,29,1,0.10214,17.6893
2,2,29,2,2.78581,14.85861
2,2,29,3,5.5335,13.64696
2,2,29,4,8.16176,11.57258
2,2,30,1,0.01476,19.39947
2,2,30,2,2.65292,17.01666
2,2,30,3,5.22889,15.38307
2,2,30,4,7.79218,13.69231
2,3,25,1,0.54449,8.91747
2,3,25,2,3.65083,6.4686
2,3,25,3,6.74549,4.16016
2,3,25,4,9.99267,2.4494
2,3,26,1,0.41102,10.84994
2,3,26,2,3.39397,9.33215
2,3,26,3,6.44675,6.9069
2,3,26,4,9.34611,4.4963
2,3,27,1,0.3063,12.43335
2,3,27,2,3.17072,11.10437
2,3,27,3,6.07296,8.78996
2,3,27,4,9.02318,6.76289
2,3,28,1,0.2277,15.15554
2,3,28,2,2.9484,12.67791
2,3,28,3,5.7498,11.58457
2,3,28,4,8.56036,8.53398
2,3,29,1,0.14044,16.56708
2,3,29,2,2.84147,15.57011
2,3,29,3,5.43578,13.70022
2,3,29,4,8.18627,10.89617
2,3,30,1,0.02152,18.61943
2,3,30,2,2.577,17.90049
2,3,30,3,5.28419,14.75763
2,3,30,4,7.75015,12.82456
