144,5
TYPE,AGE,TEMPERATURE,SHOWER,MOISTURE,REQ_WATER
1,1,25,1,0.54053,4.80566
1,1,25,2,3.63479,3.53079
1,1,25,3,6.72208,1.76849
1,1,25,4,9.77931,0.30642
1,1,26,1,0.41985,5.99281
1,1,26,2,3.43576,5.01866
1,1,26,3,6.41782,3.41148
1,1,26,4,9.42389,2.04791
1,1,27,1,0.29025,7.36494
1,1,27,2,3.17433,5.99377
1,1,27,3,6.07641,4.52631
1,1,27,4,9.03498,3.71642
1,1,28,1,0.18777,8.8097
1,1,28,2,2.94618,7.27327
1,1,28,3,5.77053,6.47286
1,1,28,4,8.55664,4.86016
1,1,29,1,0.11672,10.40412
1,1,29,2,2.75268,9.24157
1,1,29,3,5.4118,7.88621
1,1,29,4,8.22461,5.77338
1,1,30,1,0.01942,12.04156
1,1,30,2,2.63874,10.57599
1,1,30,3,5.28539,8.74608
1,1,30,4,7.69969,8.01922
1,2,25,1,0.52322,4.5327
1,2,25,2,3.68045,3.6605
1,2,25,3,6.71013,1.74378
1,2,25,4,9.9142,0.42428
1,2,26,1,0.41969,6.25037
1,2,26,2,3.37579,4.49196
1,2,26,3,6.41455,2.88151
1,2,26,4,9.35347,2.07952
1,2,27,1,0.28643,7.24188
1,2,27,2,3.13731,6.06479
1,2,27,3,6.02076,5.01295
1,2,27,4,8.96883,3.44273
1,2,28,1,0.23467,9.23827
1,2,28,2,2.93771,7.95822
1,2,28,3,5.82541,6.33324
1,2,28,4,8.53561,4.35678
1,2,29,1,0.09553,10.57315
1,2,29,2,2.79464,8.84369
1,2,29,3,5.5248,7.81703
1,2,29,4,8.0758,6.26517
1,2,30,1,0.00044,12.31298
1,2,30,2,2.61638,10.10306
1,2,30,3,5.22448,8.77948
1,2,30,4,7.89042,7.24414
1,3,25,1,0.53595,4.44212
1,3,25,2,3.62888,2.93706
1,3,25,3,6.72378,2.16767
1,3,25,4,9.90132,0.28123
1,3,26,1,0.42008,5.77776
1,3,26,2,3.36557,4.56479
1,3,26,3,6.39115,3.03851
1,3,26,4,9.49445,1.92223
1,3,27,1,0.32332,8.0385
1,3,27,2,3.16679,6.05904
1,3,27,3,6.02889,4.7264
1,3,27,4,9.03986,3.50278
1,3,28,1,0.19669,9.03334
1,3,28,2,3.00984,7.43711
1,3,28,3,5.68731,6.00054
1,3,28,4,8.53608,5.07895
1,3,29,1,0.11009,10.72184
1,3,29,2,2.79402,9.05763
1,3,29,3,5.40538,7.3785
1,3,29,4,8.17551,6.44276
1,3,30,1,0.03692,11.78739
1,3,30,2,2.57419,10.33547
1,3,30,3,5.23662,8.82863
1,3,30,4,7.82877,8.05946
2,1,25,1,0.53811,6.02863
2,1,25,2,3.62934,4.5049
2,1,25,3,6.78079,2.941
2,1,25,4,9.85676,1.64816
2,1,26,1,0.42057,7.81521
2,1,26,2,3.47083,6.03262
2,1,26,3,6.4203,4.55114
2,1,26,4,9.37013,3.4778
2,1,27,1,0.30391,8.92724
2,1,27,2,3.17132,7.34803
2,1,27,3,6.14962,5.98535
2,1,27,4,8.94281,4.81103
2,1,28,1,0.1881,11.01871
2,1,28,2,3.0278,9.33623
2,1,28,3,5.74806,7.62082
2,1,28,4,8.46185,6.46427
2,1,29,1,0.08959,11.75425
2,1,29,2,2.74799,10.44838
2,1,29,3,5.42501,8.97306
2,1,29,4,8.18954,7.31987
2,1,30,1,0.04127,13.20277
2,1,30,2,2.59426,11.77373
2,1,30,3,5.24466,10.27703
2,1,30,4,7.79355,9.24697
2,2,25,1,0.57213,6.26656
2,2,25,2,3.71672,4.63513
2,2,25,3,6.67347,3.62983
2,2,25,4,9.9733,1.9688
2,2,26,1,0.44372,7.91957
2,2,26,2,3.42879,6.48516
2,2,26,3,6.49201,4.40308
2,2,26,4,9.47975,2.89103
2,2,27,1,0.2857,9.12814
2,2,27,2,3.24066,7.55012
2,2,27,3,6.07618,6.4224
2,2,27,4,8.87747,4.48196
2,2,28,1,0.18436,10.27353
2,2,28,2,3.02859,9.00863
2,2,28,3,5.71614,7.80659
2,2,28,4,8.49264,6.20989
2,2,29,1,0.10214,12.38251
2,2,29,2,2.78581,10.40102
2,2,29,3,5.5335,9.55287
2,2,29,4,8.16176,8.10081
2,2,30,1,0.01476,13.57963
2,2,30,2,2.65292,11.91166
2,2,30,3,5.22889,10.76815
2,2,30,4,7.79218,9.58462
2,3,25,1,0.54449,6.24223
2,3,25,2,3.65083,4.52802
2,3,25,3,6.74549,2.91211
2,3,25,4,9.99267,1.71458
2,3,26,1,0.41102,7.59496
2,3,26,2,3.39397,6.53251
2,3,26,3,6.44675,4.83483
2,3,26,4,9.34611,3.14741
2,3,27,1,0.3063,8.70335
2,3,27,2,3.17072,7.77306
2,3,27,3,6.07296,6.15297
2,3,27,4,9.02318,4.73402
2,3,28,1,0.2277,10.60888
2,3,28,2,2.9484,8.87453
2,3,28,3,5.7498,8.1092
2,3,28,4,8.56036,5.97378
2,3,29,1,0.14044,11.59696
2,3,29,2,2.84147,10.89908
2,3,29,3,5.43578,9.59015
2,3,29,4,8.18627,7.62732
2,3,30,1,0.02152,13.0336
2,3,30,2,2.577,12.53034
2,3,30,3,5.28419,10.33034
2,3,30,4,7.75015,8.97719
