144,5
TYPE,AGE,TEMPERATURE,SHOWER,MOISTURE,REQ_WATER
1,1,25,1,0.56496,6.97748
1,1,25,2,3.64531,5.00483
1,1,25,3,6.70045,2.11404
1,1,25,4,9.96224,0.17882
1,1,26,1,0.45011,9.08971
1,1,26,2,3.45619,6.40103
1,1,26,3,6.38933,5.23422
1,1,26,4,9.38469,2.45652
1,1,27,1,0.32976,10.56948
1,1,27,2,3.20046,9.05986
1,1,27,3,6.06092,6.3355
1,1,27,4,8.9514,4.42061
1,1,28,1,0.21787,12.95701
1,1,28,2,3.03449,11.07434
1,1,28,3,5.79017,8.9537
1,1,28,4,8.48679,7.22405
1,1,29,1,0.09699,15.70458
1,1,29,2,2.74343,12.59737
1,1,29,3,5.50911,10.50828
1,1,29,4,8.20043,9.26194
1,1,30,1,0.02419,17.87675
1,1,30,2,2.58262,14.6953
1,1,30,3,5.20759,12.46066
1,1,30,4,7.82923,10.33711
1,2,25,1,0.5548,7.40957
1,2,25,2,3.69485,4.20123
1,2,25,3,6.83974,2.51138
1,2,25,4,9.7664,0.9643
1,2,26,1,0.40105,9.29262
1,2,26,2,3.42593,6.34152
1,2,26,3,6.49063,4.43857
1,2,26,4,9.44268,2.28651
1,2,27,1,0.30658,10.34501
1,2,27,2,3.23784,8.83223
1,2,27,3,6.04392,6.68779
1,2,27,4,8.93013,5.21579
1,2,28,1,0.1851,12.77115
1,2,28,2,2.95573,11.07383
1,2,28,3,5.78258,8.67816
1,2,28,4,8.49735,6.66344
1,2,29,1,0.08959,15.1599
1,2,29,2,2.84512,13.39006
1,2,29,3,5.50001,10.62521
1,2,29,4,8.25385,8.97039
1,2,30,1,0.00878,17.28562
1,2,30,2,2.61154,14.56004
1,2,30,3,5.18018,12.7559
1,2,30,4,7.77953,10.28726
1,3,25,1,0.57343,6.18339
1,3,25,2,3.66821,4.43436
1,3,25,3,6.67434,3.10036
1,3,25,4,9.84185,0.03762
1,3,26,1,0.44772,9.19605
1,3,26,2,3.36928,6.70826
1,3,26,3,6.36494,5.04708
1,3,26,4,9.47408,3.18466
1,3,27,1,0.29727,10.74247
1,3,27,2,3.20376,9.06278
1,3,27,3,6.08168,6.2329
1,3,27,4,8.9706,5.11825
1,3,28,1,0.21124,12.52468
1,3,28,2,2.93613,11.15509
1,3,28,3,5.74711,8.4345
1,3,28,4,8.47585,6.67452
1,3,29,1,0.10402,14.82231
1,3,29,2,2.84391,13.69164
1,3,29,3,5.53702,11.18069
1,3,29,4,8.26396,9.04749
1,3,30,1,0.01708,16.48229
1,3,30,2,2.64091,15.74991
1,3,30,3,5.15553,12.78768
1,3,30,4,7.74495,10.79179
2,1,25,1,0.53317,9.02086
2,1,25,2,3.69861,6.3266
2,1,25,3,6.85333,4.55414
2,1,25,4,9.95146,2.15115
2,1,26,1,0.42959,11.05638
2,1,26,2,3.40503,8.27685
2,1,26,3,6.40645,7.36
2,1,26,4,9.38774,4.82718
2,1,27,1,0.32751,12.56099
2,1,27,2,3.18428,10.95701
2,1,27,3,6.08445,8.62851
2,1,27,4,8.86861,6.18676
2,1,28,1,0.19587,15.65935
2,1,28,2,2.93943,12.79023
2,1,28,3,5.77651,11.06812
2,1,28,4,8.43713,8.79553
2,1,29,1,0.10778,17.09068
2,1,29,2,2.78708,15.05521
2,1,29,3,5.48704,12.62874
2,1,29,4,8.2563,10.69075
2,1,30,1,0.02494,18.57463
2,1,30,2,2.63321,17.32546
2,1,30,3,5.22865,15.38224
2,1,30,4,7.85205,13.09646
2,2,25,1,0.51837,8.32653
2,2,25,2,3.61653,7.20465
2,2,25,3,6.83204,4.48378
2,2,25,4,9.93162,2.75639
2,2,26,1,0.39666,10.78533
2,2,26,2,3.44545,8.92736
2,2,26,3,6.47139,6.42193
2,2,26,4,9.33929,4.23333
2,2,27,1,0.3403,12.43666
2,2,27,2,3.18732,10.87219
2,2,27,3,6.10974,8.96961
2,2,27,4,9.06363,6.6542
2,2,28,1,0.19474,15.60367
2,2,28,2,3.03211,13.35539
2,2,28,3,5.69818,10.88506
2,2,28,4,8.53449,9.24041
2,2,29,1,0.12388,16.57803
2,2,29,2,2.77902,14.86501
2,2,29,3,5.4975,12.68452
2,2,29,4,8.17129,10.41379
2,2,30,1,0.00152,19.91653
2,2,30,2,2.56625,16.92579
2,2,30,3,5.24917,14.44039
2,2,30,4,7.85845,13.18258
2,3,25,1,0.53299,8.26641
2,3,25,2,3.69752,6.44744
2,3,25,3,6.7227,5.09585
2,3,25,4,9.96023,2.47712
2,3,26,1,0.41374,10.91375
2,3,26,2,3.40988,8.64484
2,3,26,3,6.43012,7.35759
2,3,26,4,9.37603,4.71626
2,3,27,1,0.31255,13.51035
2,3,27,2,3.15965,11.32112
2,3,27,3,5.99924,9.4237
2,3,27,4,8.86426,6.63002
2,3,28,1,0.23833,15.01281
2,3,28,2,2.95531,12.63992
2,3,28,3,5.68525,11.43452
2,3,28,4,8.48331,8.37016
2,3,29,1,0.12531,17.31083
2,3,29,2,2.77545,14.73954
2,3,29,3,5.46349,13.0228
2,3,29,4,8.05931,10.60078
2,3,30,1,0.05001,19.33235
2,3,30,2,2.62973,17.4128
2,3,30,3,5.16716,15.32486
2,3,30,4,7.87635,13.6091
