144,5
TYPE,AGE,TEMPERATURE,SHOWER,MOISTURE,REQ_WATER
1,1,25,1,0.00805,247.00156
1,1,25,2,0.01595,126.04531
1,1,25,3,0.02422,83.3854
1,1,25,4,0.0322,61.92652
1,1,26,1,0.00765,261.85599
1,1,26,2,0.01536,129.37913
1,1,26,3,0.02304,86.55537
1,1,26,4,0.03056,65.21502
1,1,27,1,0.00735,273.95698
1,1,27,2,0.01475,135.64475
1,1,27,3,0.02201,91.66451
1,1,27,4,0.02943,67.43839
1,1,28,1,0.00719,278.28165
1,1,28,2,0.01416,141.60491
1,1,28,3,0.02146,92.50814
1,1,28,4,0.02834,71.265
1,1,29,1,0.00683,294.59589
1,1,29,2,0.01369,145.35712
1,1,29,3,0.02056,97.04699
1,1,29,4,0.02746,72.9529
1,1,30,1,0.00663,300.86871
1,1,30,2,0.01338,148.96199
1,1,30,3,0.01996,99.86263
1,1,30,4,0.02692,73.71345
1,2,25,1,0.00803,250.00963
1,2,25,2,0.01615,124.15599
1,2,25,3,0.02389,83.02255
1,2,25,4,0.03213,62.02642
1,2,26,1,0.00768,259.93113
1,2,26,2,0.01526,131.19479
1,2,26,3,0.02294,87.14707
1,2,26,4,0.03078,64.66057
1,2,27,1,0.00741,270.51301
1,2,27,2,0.01468,135.71279
1,2,27,3,0.02224,90.01079
1,2,27,4,0.02939,68.6762
1,2,28,1,0.0072,280.39866
1,2,28,2,0.01425,141.38812
1,2,28,3,0.02122,95.14716
1,2,28,4,0.0286,69.83349
1,2,29,1,0.00683,294.34454
1,2,29,2,0.01366,146.49233
1,2,29,3,0.02089,95.57715
1,2,29,4,0.0276,72.41729
1,2,30,1,0.0067,297.51186
1,2,30,2,0.01329,150.02537
1,2,30,3,0.02,99.91643
1,2,30,4,0.02675,75.43927
1,3,25,1,0.00804,248.73378
1,3,25,2,0.01587,126.4796
1,3,25,3,0.02415,82.44879
1,3,25,4,0.0321,62.16238
1,3,26,1,0.00776,256.0017
1,3,26,2,0.01541,131.0364
1,3,26,3,0.02289,86.95597
1,3,26,4,0.03051,65.33706
1,3,27,1,0.00742,269.58637
1,3,27,2,0.0147,137.11445
1,3,27,3,0.02232,88.84328
1,3,27,4,0.02976,66.96806
1,3,28,1,0.00714,277.61326
1,3,28,2,0.0143,139.63848
1,3,28,3,0.02125,95.0319
1,3,28,4,0.02833,69.9931
1,3,29,1,0.00686,293.00416
1,3,29,2,0.01368,147.24984
1,3,29,3,0.02071,96.65413
1,3,29,4,0.02782,72.10241
1,3,30,1,0.0066,300.74865
1,3,30,2,0.01328,150.90395
1,3,30,3,0.0202,98.33612
1,3,30,4,0.02657,75.70146
2,1,25,1,0.00802,248.95788
2,1,25,2,0.01585,126.78294
2,1,25,3,0.02395,82.84974
2,1,25,4,0.03192,62.34093
2,1,26,1,0.00762,264.26551
2,1,26,2,0.0154,129.60271
2,1,26,3,0.02307,86.7187
2,1,26,4,0.03098,64.96167
2,1,27,1,0.00734,273.52483
2,1,27,2,0.01486,134.60136
2,1,27,3,0.02221,90.28589
2,1,27,4,0.02981,66.79253
2,1,28,1,0.00719,275.51365
2,1,28,2,0.01421,140.15357
2,1,28,3,0.02123,94.44208
2,1,28,4,0.02856,70.38235
2,1,29,1,0.00689,291.86786
2,1,29,2,0.01376,144.01394
2,1,29,3,0.02089,95.40232
2,1,29,4,0.02773,72.8094
2,1,30,1,0.0067,300.80822
2,1,30,2,0.01347,147.65086
2,1,30,3,0.01993,99.6816
2,1,30,4,0.02656,75.62928
2,2,25,1,0.00806,249.16702
2,2,25,2,0.016,125.45755
2,2,25,3,0.02414,82.3073
2,2,25,4,0.03206,62.45151
2,2,26,1,0.0077,261.39221
2,2,26,2,0.01525,131.27836
2,2,26,3,0.02302,87.2519
2,2,26,4,0.03105,64.33886
2,2,27,1,0.0074,268.79967
2,2,27,2,0.01485,135.60592
2,2,27,3,0.0221,89.76847
2,2,27,4,0.02947,68.35977
2,2,28,1,0.00709,282.70417
2,2,28,2,0.01427,140.75558
2,2,28,3,0.02161,92.4465
2,2,28,4,0.02883,69.38386
2,2,29,1,0.00692,290.1993
2,2,29,2,0.01378,145.79434
2,2,29,3,0.02067,95.96406
2,2,29,4,0.0275,72.24766
2,2,30,1,0.0066,303.88648
2,2,30,2,0.01343,147.73113
2,2,30,3,0.01982,101.00989
2,2,30,4,0.0268,75.2047
2,3,25,1,0.00795,252.95719
2,3,25,2,0.01589,126.44364
2,3,25,3,0.02409,83.20311
2,3,25,4,0.03224,62.58107
2,3,26,1,0.00765,261.34798
2,3,26,2,0.01548,127.89387
2,3,26,3,0.02316,86.45316
2,3,26,4,0.03092,64.69918
2,3,27,1,0.00733,272.98015
2,3,27,2,0.01495,134.71303
2,3,27,3,0.02243,89.94001
2,3,27,4,0.02976,67.18474
2,3,28,1,0.00719,279.21427
2,3,28,2,0.01432,140.72199
2,3,28,3,0.02128,93.08153
2,3,28,4,0.02878,69.33309
2,3,29,1,0.00693,287.9373
2,3,29,2,0.01366,146.84812
2,3,29,3,0.02055,97.77623
2,3,29,4,0.02782,71.60947
2,3,30,1,0.00661,304.77431
2,3,30,2,0.0133,151.33524
2,3,30,3,0.01988,100.77633
2,3,30,4,0.02679,75.24508
